name,combined_text,overall_player_rating,rating_encoded
Jurassic World Evolution 2,"jurassic world evolution 2 is the much-anticipated sequel to frontier’s highly successful jurassic world evolution. this bold new era in the jurassic world evolution game franchise builds upon the ground-breaking and immersive 2018 management simulation. about this game
							jurassic world evolution 2 is the much-anticipated sequel to frontier’s ground-breaking 2018 management simulation, jurassic world evolution, offering an all new narrative campaign voiced by cast members from across the jurassic world film franchise, exciting new features, four engaging game modes, and an expanded roster of awe-inspiring dinosaurs.   learn what it takes to be a park management master in campaign mode, a compelling, original narrative that puts you at the heart of the action following the earth-shattering events of jurassic world: fallen kingdom. work alongside iconic characters from the films, including dr. ian malcolm (voiced by jeff goldblum) and claire dearing (voiced by bryce dallas howard), and lead the efforts to control, conserve, and contain wild dinosaurs now rampaging across the usa. take control with deeper management tools and creative options. construct a range of customisable new buildings and hire new scientists, and shape your park to meet the needs of both your guests and dinosaurs. unleash your creativity in sandbox mode, or test your skills in challenge mode as you deal with diverse locations and environmental calamities.play through key moments of your favourite films - with a twist. experience ‘what-if’ scenarios from iconic jurassic world and jurassic park films, each level set across eras and locations from all five movies. dive into the jurassic world franchise and see how events unfold when you take control. over 75 different prehistoric species come to life in jurassic world evolution 2, including highly requested flying and marine reptiles. these animals feel more alive than ever as they preside over territory, fight for dominance, and react intelligently to the world around them. use bioengineering to customise dinosaurs with bold new colours, and alter their genomes to unlock traits. ['dinosaurs', 'building', 'simulation', 'management', 'sandbox', 'strategy', 'singleplayer', 'city builder', 'economy', 'resource management', 'sci-fi', 'open world', 'violent', 'atmospheric', 'sequel', 'action', 'multiplayer', 'survival', 'base building', 'casual']",Very Positive,4.0
DCS World Steam Edition,"feel the excitement of flying the su-25t ""frogfoot"" attack jet and the tf-51d ""mustang"" in the free-to-play digital combat simulator world! about this game
feel the excitement of flying the su-25t ""frogfoot"" attack jet and the tf-51d ""mustang"" in the free-to-play digital combat simulator world! two free maps are also included: the eastern black sea and the mariana islands.digital combat simulator worlddigital combat simulator world (dcs world) is a free-to-play digital battlefield game.our dream is to offer the most authentic simulation of military aircraft, ground and armor vehicles, and naval units possible. this free download includes a vast area of the caucasus region as well as a free mariana islands map. it includes one of the most powerful mission editors ever designed, network play, and hundreds of ai weapons systems, ground units, armored vehicles, air defense systems, and ships. it also includes a free russian sukhoi su-25t ground attack jet and the famous wwii north american tf-51d mustang fighter. dcs is a true ""sandbox"" simulation that is also designed to cover multiple time periods of interest such as wwii, korean war, vietnam, gulf war and others. current regions to battle include the back sea, marianas, nevada test and training range, persian gulf, english channel, syria, and normandy 1944. dcs world is a deep and realistic simulation that can be tailored to suit any level of experience. our mission is to deliver excellence and make your dreams a virtual reality. we do this by offering training for complex weapons systems like the dcs: f/a-18c hornet, dcs: f-16c viper, dcs: ah-64d, and many more. the next step is the real thing!key featuresa realistic free-to-play digital battlefield.eagle dynamics graphics engine (edge) that looks amazing from 0 to 80,000 feet.free american tf-51 mustang and russian su-25t attack jet.multi-layer volumetric cloudscapes with wind, precipitation, air pressure, and more.highly detailed map of the caucasus region that encompass southwestern russia and georgia. 20 operational airbases, detailed terrain, and both civil and military infrastructure with thousands of kilometers of usable roads and railway.detailed recreation of the mariana islands including 1,500 x 1,000km of land and ocean for naval operations that includes andersen afb and the airfields on rota, tinian and saipan.includes hundreds of fully operational weapons systems, ground vehicles, ships and ai-controlled aircraft.the mission editor allows rapid mission generation and the possibility to create your own missions and campaigns for unlimited gameplay.multi-crew enables full network play in the same aircraft in multiplayer.thousands of online servers offering pvp and pve.mouse interactive 6 degrees of freedom (6dof) cockpitsaccurate flight models, weapons systems, sensors, targeting systems and sounds.hundreds of missions and campaigns with new campaigns continually created.community files section offering endless user created modifications, skins, missions and more.full virtual reality support. ['simulation', 'flight', 'free to play', 'multiplayer', 'military', 'realistic', 'vr', 'war', 'open world', 'singleplayer', 'shooter', 'action', 'co-op', 'sandbox', 'trackir', 'first-person', 'tanks', 'strategy', 'massively multiplayer', 'fps']",Very Positive,4.0
American Truck Simulator - Arkansas,"about this content
							located in the south-central region of the united states, the state is a nature wonderland with three national forests, many state parks, nearly 9,000 miles of pristine streams and rivers like the arkansas and mississippi, as well as the ever-stretching ozark and ouachita mountain ranges. while hauling cargo, you will be able to not only see some of these beautiful landscapes and areas, but travel through a variety of large and small towns and cities, where you'll find industries, landmarks and more.take your time and enjoy every moment as you discover:10 explorable cities including little rock, fortsmith, fayetteville and pine bluff.see several landmarks unique to arkansas such as the historical centre of hot springs with its bathhouse row and national park, iconic art murals, the majestic arlington hotel, courthouses, churches and more.enjoy trucking through 10 scenic towns (settlements)discover a variety of different viewpoints across arkansassee the famous arkansas and mississippi rivers which run through the state.drive across the impressively large emmitt sanders lock and dam, which has been in operation since december 1968!deliver to unique industries such as the nuclear one power plant, and custom built river port & timber harvest depots. experience the new dynamic loading and unloading of logs onto your trailer.discover the hidden treasures of arkansas's countryside, forest, swampland, viewpoints, road network and more. ['simulation', 'indie', 'multiplayer']",Very Positive,4.0
Train Sim World® 5,"the rails are yours in train sim world 5! take on new challenges and new roles as you master the tracks and trains of iconic cities across 3 new routes. immerse yourself in the ultimate rail hobby and embark on your next journey. about this game
							take on new challenges and new roles as you master the tracks and trains of iconic cities across 3 new routes. immerse yourself in the ultimate rail hobby and embark on your next journey. from sleek, tilting marvels to the grunt of mighty, modern diesels - the rails are yours in train sim world 5!londonbe swept off your feet with the commuter mayhem of the west coast main line. from the detailed cab of the northwestern class 350, operate semi-fast and commuter services between euston and milton keynes.deluxe edition: lean into even more action on the wcml with the sleek and famous avanti west coast class 390 pendolino, tilting around bends in speedy fashion!frankfurtvariety abounds on the twisting kinzigtalbahn. bank around the scenic kinzig valley aboard the tilting db br 411 ice-t, shuttle along the line in the regional br 114 + dostos, and haul freight with the mighty db vectron. it’s all systems go between frankfurt and fulda.deluxe edition: experience additional passenger flavour on the kinzigtalbahn with flixtrain traction! vectron and talbot coaches wear bright green for iconic cross-country rail travel.los angelesthe sun-soaked tracks of the san bernardino line play host to metrolink movements. with both the powerful f125 and sleek mp36, hustle between highways and dash from town to town on the daily suburban commute. connect the sprawling greater la metropolis and run to the foothills of the cajon peaks.deluxe edition: hop to the hills of bnsf territory with cajon pass. master mountain pass railroading over the peak to barstow and operate local freight on the san bernardino line.conductor modea new way to play! conductor mode puts you into the role of a guard/conductor on any service – check tickets, operate the doors and ensure passenger safety. take a break between driving and master a different discipline.the rails are yourswith customisation tools such as creators club, photo mode and more, embark on your own journey, in your own way. live map: get a real-time, birds-eye view of any route. become familiar with station locations and find out when the next train is heading your way with detailed information.route hopping: fast-travel across routes to catch the action at any station or hop between geography-shared routes on-foot to access your collection (other route add-ons required).your collection, your wayenter the hobby, expand or kick-start your collection with different editions;free starter pack introduces you to train sim world 5 with the training center, standard edition comes with the 3 new routes, deluxe edition also comes with additional new trains, and special edition comes with an additional set of tsw5 compatible routes.“tsw compatible” content released for a previous train sim world® - features may remain unchanged from the original release and may not make use of all newer core features.with any upgrades from a previous train sim world – your content comes with you!please note: the train sim world 5 ui is localised into english, french, german, spanish, italian, polish, russian, and simplified chinese. localisation on add-on content varies depending on the individual content. ['simulation', 'adventure', 'automobile sim', 'immersive sim', 'first-person', 'realistic', 'vr', 'atmospheric', 'trains', 'driving', 'relaxing', 'family friendly', 'transportation', 'open world', 'physics', 'singleplayer', 'story rich']",Mostly Positive,3.0
Crusader Kings III: Tours & Tournaments,"about this content
							life is a journey of chivalric adventure, so why don’t you embrace yours, ruler? create your very own epic story with the major expansion, crusader kings iii: tours & tournaments. be awed by the sights and events that await you, from bold, mock combat in the jousting area to adventuring perilous wilds with your royal entourage. let wanderlust overtake your ruler’s desires during a monumental tour, and seek out your subjects in a realm that can be both dangerous and richly entertaining. prove yourself in one of the many forms of gallant tournaments, either abroad or at home, or use the festivities to murder a quarrelsome rival. be the host of new grand activities, be it grand weddings or stirring falconry hunts. but beware! many celebrations are the perfect cover for the dastardly scheme against foes… or family. crusader kings iii: tours & tournaments presents a brave, new medieval world of trials and tribulations, deeds and adventure, and refreshing storytelling. get ready for adventurerestless feet carry their master far and wide. travel, and discover your realm in intimate detail with your own personalized epic tour.handpick your entourage and customize your route carefully. the road ahead might be long, but is filled with colorful characters, exotic cultures, and life-changing events.  pay your vassals a visit and interact with them closely. inspect their holdings, and get to know how your subjects live their lives in the most distant corners of your realm. manifest your benevolence and bestow gifts and rewards. or, bring a horde of tax collectors and finally get your due from those conveniently hard-to-reach vassals.  a novel form of tournamentaspiring warriors or prestige-seeking nobles, the tournament is the perfect place to show your worth. will you impress during the myriad new tourneys, pageantry, and chivalric trials of jousting? join contests to win extraordinary prizes and gain valuable experience in new skills. host a magnificent tournament with all its splendor and festivities. prepare yourself well by paying a visit to the blacksmith or gain some liquid courage in the local tavern.beguile your opponent with setting intents, then bash their heads in or win the heart of your quarries with your excellent jousting skills. grand activities, knightly honors, and new artmedieval life wouldn’t be the same without elaborate weddings and knights. with crusader kings iii: tours & tournaments both impress even more!gain an edge in backroom diplomacy by organizing a grand wedding. negotiate beneficial prenuptial pacts, please your courtly vassals, and gain favors at these new intricate ceremonies. bestow your knights with honors, allowing your warrior nobles to specialize, whether in politics or on the battlefield. train them up, sending them to tournaments or war for even more experience.  admire the new museum-worthy character art, showcasing in detail the evolution of armor and dazzling changes in western medieval clothing, from the early to late middle ages. ['rpg', 'strategy', 'simulation', 'medieval']",Mostly Positive,3.0
Cities: Skylines II,"raise a city from the ground up and transform it into a thriving metropolis with the most realistic city builder ever. push your creativity and problem-solving to build on a scale you've never experienced. with deep simulation and a living economy, this is world-building without limits. about this game
raise a city from the ground up and transform it into the thriving metropolis only you can imagine. you've never experienced building on this scale. with deep simulation and a living economy, cities: skylines ii delivers world-building without limits. lay the foundations for your city to begin. create the roads, infrastructure, and systems that make life possible day to day. it's up to you – all of it. how your city grows is your call too, but plan strategically. every decision has an impact. can you energize local industries while also using trade to boost the economy? what will make residential districts flourish without killing the buzz downtown? how will you meet the needs and desires of citizens while balancing the city's budget?your city never rests. like any living, breathing world, it changes over time. some changes will be slow and gradual, while others will be sudden and unexpected. so while seasons turn and night follows day, be ready to act when life doesn't go to plan. the most realistic and detailed city builder ever, cities: skylines ii pushes your creativity and problem-solving to another level. with beautifully rendered high-resolution graphics, it also inspires you to build the city of your dreams.ai and intricate economics mean your choices ripple through the fabric of the city. remember that as you strategize, problem-solve, and react to change, challenges, and opportunities.cities: skylines ii lets you create without compromise. now you can build sky-high and sprawl across the map like never before. why not?  your city is you.your decisions shape each citizen's life path, a chain of events that defines who they are. from love and loss to wealth and wellbeing, follow their life's ups and downs.pick a map to set the climate of your city. these are the natural forces you'll negotiate to expand your city amid rising pollution, changeable weather, and seasonal challenges. ['simulation', 'city builder', 'building', 'singleplayer', 'sandbox', 'management', 'economy', 'strategy', 'realistic', 'moddable', 'resource management', 'relaxing', 'transportation', 'casual', 'multiplayer', 'atmospheric', 'early access', 'open world', 'great soundtrack', 'mod']",Mixed,2.0
Fields of Mistria,"start your new life! build the farm of your dreams as you discover a world brimming with possibilities. magic, romance, and adventure all await you in this nostalgic farming / life sim rpg! about this game
get ready to begin a brand-new life in a world that's brimming with possibilities! mistria, an idyllic village tucked between forest and sea, has offered you an overgrown but full-of-potential homestead in exchange for your assistance. restore the town to its former glory after an earthquake wreaks havoc and strange magic begins to flow through the land.in this spiritual successor to the farm-sim rpgs of the late 90s & onward, build the farm of your dreams as you discover magic, romance, and adventure! customize your character , home and farm to suit your style! farm, fish, mine & craft your way to a revitalized town find your ideal match with one of 12 marriage candidatesnote: heart progression past 4 hearts and marriage itself will be added via future updates.   raise adorable animals & breed rare color variants unlock magic that will aid you during farming & adventuring enjoy the changing seasons with new quests, festivals, and even villager outfits! get to know 30+ villagers and follow their stories  battle foes and discover treasures as you explore ancient ruins  and so much more! ['early access', 'rpg', 'farming sim', 'simulation', 'dating sim', 'life sim', 'romance', 'farming', 'agriculture', 'cute', 'relaxing', 'anime', 'sandbox', 'open world', 'pixel graphics', '2d', 'crafting', 'building', 'cooking', 'mining']",Overwhelmingly Positive,4.0
Supermarket Simulator,"run your own supermarket. stock shelves, set prices as you'd like, take payments, hire staff, expand and design your store. online orders & delivery, shoplifters, security, local market are upcoming. about this game
""supermarket simulator"" is a chill first-person simulation where every detail of running a supermarket comes alive.design your store, optimizing for efficiency and aesthetics. determine where products are displayed, manage your aisles, and ensure a smooth shopping experience for your customers.order stock using an in-game computer. unpack goods, organize them in your storage room and place them on shelves, fridges, and freezers.scan items, take cash and credit card payments, and ensure customers leave satisfied with their shopping and checkout experience.navigate the complexities of a real-time market. buy products when prices dip and determine the best-selling prices to balance customer satisfaction with profit margins.as you accumulate profits, consider reinvesting. expand your store's physical space, upgrade interiors, and continually adapt to the evolving demands of the retail world.in ""supermarket simulator"", every decision matters. will you rise to the occasion, transforming a modest establishment into a retail powerhouse, all while balancing customer satisfaction, and finances? ['simulation', 'management', 'economy', 'multiplayer', 'singleplayer', 'immersive sim', 'trading', 'first-person', 'life sim', 'building', 'capitalism', 'resource management', '3d', 'sandbox', 'realistic', 'casual', 'inventory management', 'early access', 'indie', 'driving']",Very Positive,4.0
CarX Street,"conquer mountain roads, highways, and city streets. build your dream car with detailed tuning that unleashes the potential of “carx technology”© physics. take part in thrilling races, enjoying realistic gameplay and dynamic driving. about this game
street racing, high speeds, and adrenaline-pumping action… all of this is waiting for you in sunset city. get behind the wheel of a variety of cars, enjoy extensive tuning options, and feel like a real king of the road.you'll become part of streetnet. it is a unique network for underground racers. earn respect among network members, rise to the elite, and build the car collection of your dreams.an open-world racing game from the creators of carx drift racing online. a large open world filled with diverse activities:club races - challenge the bosses of various clubs across unique districts of the city. show your skills and rise to the elite by taking on the toughest rivals;freedrift rides - get maximum drift points in city parking lots by showing your skills in creating impressive and complex drift combos;drift races - aim for the highest drift points on scenic serpentine roads. these winding tracks offer the perfect environment to sharpen your drift skills and push your limits;sprint races - take part in high-speed sprint races through the city’s densely populated districts. compete against time and other racers to achieve the best results in each race;leaderboard mode allows players to compete for the top positions in the rankings. participate in various races and climb the leaderboards. track your progress, compare results with other players, and strive for the top to earn the most exclusive rewards;complete delivery quests scattered across the city to transport cars and parts, giving you a deeper discovering of sunset city;  city exploration - discover the beauty of sunset city, by exploring its various locations. enjoy the open world, finding interesting places that await you around every corner. explore a vast selection of cars available in the game. build the car of your dreams, whether it's a precision drifting car or a high-powered sports car. in the world of carx street, the possibilities are limitless — make your dreams come true!customize and tune key aspects of your car to achieve optimal performance. fine-tune your vehicle's settings for drift, sprint, and club races to ensure it meets your specific racing needs.incredible customization options for your car. choose from a wide range of parts to create a unique design. adjust your car's color with various paint types. modify rims, add led lighting for an extra flair, and personalize the interior with different seat and steering wheel options. build a car that truly reflects your personal style.various multiplayer modes:speed league – dive into thrilling online races and prove your skills by competing against five opponents. are you ready to risk it all and put your car on the line for victory?battle mode – engage in intense duels in circuit and sprint races. show off your speed and agility on the road as you face off against other racers. every race is your chance to prove you’re the best in 1v1 races.chase mode – test your skills as you try to outrun a pursuer for over 300 meters. this is your chance to showcase your speed and strategic thinking against other racers.maneuver through city traffic, conquer the mountain slopes in the skid and just enjoy the freedom of movement without limits with your friends.carx street will continue to evolve over the next few years. new content and features will be added to the game with future updates, such as: sunset city and its suburbs territory expansions and new playable areas; constant updates to the car park;new tuning and customization options;a complete storyline;new types of races and activities for the single-player mode; new multiplayer modes and competitions; graphical enhancements. ['racing', 'open world', 'multiplayer', 'pvp', 'automobile sim', 'driving', 'sandbox', 'simulation', 'massively multiplayer', 'exploration', 'sports', 'third person', 'atmospheric', 'first-person', 'action', 'arcade', '3d', '3d vision', 'physics', '6dof']",Mixed,2.0
Hearts of Iron IV,"victory is at your fingertips! your ability to lead your nation is your supreme weapon, the strategy game hearts of iron iv lets you take command of any nation in world war ii; the most engaging conflict in world history. about this game
							take charge of history’s greatest war machines in hearts of iron iv, a grand strategy wargame that challenges your strategic abilities and political insight. refight world war ii at the head of nation from the time period, building up an industrial powerhouse and a diplomatic alliance that will effectively wage war on ideological opponents.hearts of iron iv is more than a historical simulation. alternate historical paths open up with almost every decision you make, from small ones such as where to launch your attack to crack open fortress europe, to large ones, such as whether to re-establish democracies or long forgotten monarchies.in hearts of iron iv, you can plan the military strategy almost down to the rivets, as you design division templates for your armies, research new modes of production and means of destruction, set out factory instructions and pursue political objectives. almost no part of the war goes untouched as you guide a nation of your choice through humanity’s darkest hour.this purchase comes with the hearts of iron iv base game as well as three expansion packs:death or dishonor: focuses on eastern and central european middle powerstogether for victory: focuses on british commonwealth nationswaking the tiger: focuses on china and japan ['strategy', 'world war ii', 'grand strategy', 'war', 'historical', 'military', 'alternate history', 'multiplayer', 'simulation', 'tactical', 'real-time with pause', 'singleplayer', 'rts', 'diplomacy', 'sandbox', 'co-op', 'strategy rpg', 'competitive', 'open world', 'action']",Very Positive,4.0
shapez 2,"dive into a factory-building game where the focus is on just that — building huge factories! construct sprawling multi-level factories and min-max your layouts without limits. shapez 2 is tailor-made for enthusiasts who crave the thrill of optimizing production lines and perfecting automation. about this game
shapez 2 is a top-down factory-building game where you extract and process geometric shapes. each shape is its own set of building-blocks that your factories can take apart, stack, paint and put back together in unique ways. build and automate to produce distinct shapes and solve the production challenge of each goal.automate the processing of abstract geometric shapes into more complex ones by cutting, rotating, stacking, painting and more. deliver distinct shapes to unlock new technologies and expand your factory’s capabilities. learn, improve, rebuild and solve logistical challenges to design the most efficient shape production lines.build in multiple interconnected layers, allowing you to compact and optimize your factories in a whole new dimension. improve your designs to get the most benefit out of every space platform built and massively increase your production throughput.shapez 2 is the purest factory building game imaginable - all buildings are free, resources never run out and there are no enemies or time limits. prepare for a 100% factory-building experience: effortlessly delete, redesign and rebuild as much as you want, with no penalties, at your own pace.you’re always in complete control - whether the messy spaghetti belts you built 4 hours ago could use some improvements or a whole circle factory needs to go, shapez 2 gives you the tools to do it without limitations.start your operation from a single asteroid and continuously expand by building new platforms. unlock new layouts as you progress, and grow from a single belt into a massive multi-station space factory connected by space trains. design modular blueprintable platforms to build on a massive scale, placing hundreds of buildings with just one click.performance is very important to us, and with the complete rewrite of shapez 2 in a new engine, we're doing our best to make sure that massive factories run smoothly - even with the all-new 3d visuals! multi-layer 3d factories: design and optimize your factories in a whole new dimension trains: connect distant stations with a network of space trains research system: unlock buildings, mechanics & upgrades in the all-new tech tree new shape mechanics: discover new shapes types with unique properties and logic game modes: 4 game modes, including a hexagonal shape mode blueprint library: save, load, export and share factory design blueprints with anyone all-new visuals: build factories and stations in a stunning immersive space environment fluids: use different types of liquids to process shapes animated open buildings: see exactly what's happening inside buildings in your factory undo/redo: up to 50 undo/redo operations ['management', 'strategy', 'automation', 'futuristic', 'early access', 'building', 'puzzle', 'crafting', 'simulation', 'sandbox', 'trains', 'space', 'transportation', 'base building', '3d', 'logic', 'singleplayer', 'casual', 'relaxing', 'procedural generation']",Overwhelmingly Positive,4.0
Ale & Tale Tavern,"get ready for a thrilling mix of genres: a cooperative, first-person, open-world fantasy tavern simulator, action, fishing, hunting, exploration, and completing fun and diverse quests. and, of course, cooking! play with friends, feed and quench the thirst of the entire world! about this game
you are in for a stunning mix of genres: a coop first-person fantasy tavern simulator in an open world, action, fishing, hunting, exploration, fun and diverse quests. and, of course, cooking! play solo or with friends and feed the entire world!the game unfolds in a cozy and beautiful fantasy world. step into the role of the owner of an abandoned tavern. work alone or together with your friends to restore the former glory and popularity of the ale & tale tavern. explore new recipes, participate in hunting and fishing, breed animals, grow plants, complete quests involving unique and amusing characters. decorate your tavern. fight against dangers. cook dishes and drinks that will delight your visitors, and they will repay you with ringing coin! and remember: owning your own tavern is fun!! and if you want something else - just explore the world, enjoy its beauty and your complete freedom!key features:play solo or with other playerscoop mode for up to 4 peopleenjoy superior graphics and a dynamic game worldexplore a small, handcrafted open world full of adventures and activitiescomplete a variety of diverse story quests and meet unique characters inhabiting the game worldengage in whatever your heart desirestavern management, cooking, decorating your tavern and crafting, delivering orders, growing plants, breeding animals, hunting, fishing, and much morefight against a variety of enemies and monsters using different types of weaponsdive into an ocean of fun and complete freedom of action. play the way you want and enjoy true pleasure! the ale & tale tavern awaits its heroes! ['adventure', 'simulation', 'online co-op', 'cooking', 'fantasy', 'action', 'first-person', 'management', 'co-op', 'sandbox', '3d', 'casual', 'economy', 'indie', 'building', 'exploration', 'family friendly', 'action-adventure', 'party game', 'singleplayer']",Very Positive,4.0
7 Days to Die,"7 days to die is an open-world game that is a unique combination of first-person shooter, survival horror, tower defense, and role-playing games. play the definitive zombie survival sandbox rpg that came first. navezgane awaits! about this game
how long will you survive?with over 18 million copies sold, 7 days has defined the survival genre, with unrivaled crafting and world-building content. set in a brutally unforgiving post-apocalyptic world overrun by the undead, 7 days is an open-world game that is a unique combination of first-person shooter, survival horror, tower defense, and role-playing games. it presents combat, crafting, looting, mining, exploration, and character growth, in a way that has seen a rapturous response from fans worldwide. play the definitive zombie survival sandbox rpg that came first. navezgane awaits!game featuresexplore - huge, unique and rich environments, offering the freedom to play the game any way you want, featuring 5 unique biomes and worlds up to 100 square kilometers in size.craft – handcraft and repair weapons, clothes, armor, tools, vehicles, and more with over 500 recipes. learn more powerful recipes by finding schematics.build – design your fort to include traps, electric power, auto turrets, automated doors, gadgets and defensive positions to survive the undead in a fully destructible and moldable world.cooperate or compete – work together to build settlements or against each other raiding other player’s bases, it’s really up to you in a wasteland where zombies and outlaws rule the land.create – unleash your creativity with access to over 800 in-game items, and over 1,300 unique building blocks and a painting system that offers infinite possibilities.improve – increase your skills with a multitude of perks under 5 main attributes. gain additional skills by reading over 100 books. 7 days to die is the only true survival rpg.choose – play the campaign world, or dive back in a randomly-generated world with cities, towns, lakes, mountains, valleys, roads, caves and over 700 unique locations.combat – encounter nearly 60 unique zombie archetypes including special infected with unique behaviors and attacks progressing in difficulty to provide an infinite challenge.survive – experience real hardcore survival mechanics with nearly 50 buffs, boosts and ailments that will impact the gameplay in ways that can both challenge and aid in your survival.destroy  – buildings and terrain formations can collapse under their own weight from structural damage or poor building design with real structural stability.loot  – scavenge the world for the best weapons, tools, and armor with 6 quality ranges providing thousands of permutations. augment items with a multitude of mods.quest  – meet several trader npcs who buy and sell goods and offer quest jobs for rewards. enjoy many unique quest types supported by over 700 locations.customize – create your own character and customize your character further in-game with a huge selection of clothing and armor you can craft or loot in the world.drive – enjoy the badass vehicle system where you find all the parts, learn the recipes, craft and customize your own bicycle, minibike, motorcycle, 4x4 or gyrocopters and ride with friends.farm or hunt  – plant and grow gardens for sustainable resources or head out into the wilderness and hunt over a dozen unique wild animals. ['survival', 'zombies', 'multiplayer', 'open world', 'open world survival craft', 'base building', 'voxel', 'post-apocalyptic', 'online co-op', 'building', 'exploration', 'sandbox', 'fps', 'simulation', 'character customization', 'strategy', 'tower defense', 'action', 'procedural generation', 'horror']",Very Positive,4.0
Garry's Mod,"garry's mod is a physics sandbox. there aren't any predefined aims or goals. we give you the tools and leave you to play. about this game
							garry's mod is a physics sandbox. there aren't any predefined aims or goals. we give you the tools and leave you to play.you spawn objects and weld them together to create your own contraptions - whether that's a car, a rocket, a catapult or something that doesn't have a name yet - that's up to you. you can do it offline, or join the thousands of players who play online each day. if you're not too great at construction - don't worry! you can place a variety of characters in silly positions. but if you want to do more, we have the means.beyond the sandboxthe garry's mod community is a tremendous source of content and has added hundreds of unique modes to the game. in trouble in terrorist town, you can be a detective solving an online murder as criminals attempt to cover up their homicides. be a ball, a plant, a chair, or anything else in prop hunt's elaborate, shape-shifting game of hide & seek. elevator: source is gaming's first elevator thrill ride, delivering players to airlocks and kitten dance parties. we have one of the most vibrant steam community workshops, with over 300'000 models, maps, and contraptions to download. it has everything from new tools to improve your builds, to guns that fire rainbow-tinged nuclear blasts from space. take as much or as little as you need: it’s all free. please note: some multiplayer servers and game-modes might require you to own other games - such as counter-strike: source and team fortress 2. ['sandbox', 'moddable', 'multiplayer', 'physics', 'building', 'casual', 'funny', 'first-person', 'singleplayer', 'fps', 'simulation', 'online co-op', 'co-op', 'shooter', 'comedy', 'action', 'indie', 'pvp', 'realistic', 'exploration']",Overwhelmingly Positive,4.0
People Playground,"shoot, stab, burn, poison, tear, vaporise, or crush ragdolls in a large open space. about this game
							shoot, stab, burn, poison, tear, vaporise, or crush ragdolls. this game is for people who enjoy throwing around ragdolls but want it to be more detailed, satisfying, and feel more free while doing so.ragdolls are simple on the outside but detailed on the inside. you can siphon their blood and replace it with nitroglycerine. you can submerge their head and cause brain damage by asphyxiation. think of something horrible, and you can probably do it in people playground. afterwards, you could even hook them up to an ecg and blood supply to try to get them back on their feet.every object in the game has its own physical properties: weight, sharpness, thermal and electrical conductivity, ferromagnetism, heat capacity, bullet resistance, and so on. the game simulates temperature, heat transfer through objects and through the air, electricity, and rigid body dynamics. all these systems combined make for emergent gameplay. you may experience behaviour that was never explicitly implemented.mutilation aside, you are encouraged to build interesting contraptions or download them from the steam workshop. construct airplanes, walkers, impenetrable bases, automatic doors, shields, computers, unholy weaponry - it's up to you!once you get bored of the limited amount of items, you may download one of many workshop mods and addons to expand the toy box, or you could make your own. ['sandbox', 'gore', 'physics', 'blood', 'moddable', 'violent', '2d', 'singleplayer', 'destruction', 'simulation', 'funny', 'building', 'pixel graphics', 'psychological horror', 'indie', 'action', 'casual', 'horror', 'comedy', 'choose your own adventure']",Overwhelmingly Positive,4.0
Cities: Skylines,"cities: skylines is a modern take on the classic city simulation. the game introduces new game play elements to realize the thrill and hardships of creating and maintaining a real city whilst expanding on some well-established tropes of the city building experience. about this game
cities: skylines is a modern take on the classic city simulation. the game introduces new game play elements to realize the thrill and hardships of creating and maintaining a real city whilst expanding on some well-established tropes of the city building experience. you’re only limited by your imagination, so take control and reach for the sky!multi-tiered and challenging simulationconstructing your city from the ground up is easy to learn, but hard to master. playing as the mayor of your city you’ll be faced with balancing essential requirements such as education, water electricity, police, fire fighting, healthcare and much more along with your citys real economy system. citizens within your city react fluidly, with gravitas and with an air of authenticity to a multitude of game play scenarios.extensive local traffic simulationcolossal order's extensive experience developing the cities in motion series is fully utilized in a fully fleshed out and well-crafted local traffic simulation.districts and policiesbe more than just an administrator from city hall. designating parts of your city as a district results in the application of policies which results in you rising to the status of mayor for your own city.utilize the day and night cyclethe city changes during the hours of the day and affects citizen schedules. traffic is visibly slower at night and some zoned areas do not work with full efficiency. cities: skylines will put you in control of managing the different aspects of the day and night cycles.extensive modding supportbuild or improve on existing maps and structures. you can then import your creations into the game, share them as well as download the creations of other city builders on the steam workshop. ['city builder', 'simulation', 'building', 'management', 'strategy', 'sandbox', 'singleplayer', 'moddable', 'economy', 'resource management', 'mod', 'realistic', 'replay value', 'casual', 'modern', 'real-time with pause', 'family friendly', 'great soundtrack', 'funny', 'action']",Very Positive,4.0
Totally Accurate Battle Simulator,"be the leader of wobblers from ancient lands, spooky places, and fantasy worlds. watch them fight in simulations made with the wobbliest physics system ever created, make your own wobblers in the unit creator and send your army off to fight your friends in multiplayer. about this game
be the leader of red and blue wobblers from ancient lands, spooky places, and fantasy worlds. watch them fight in simulations made with the wobbliest physics system ever created.  when you grow tired of the 100+ wobblers at your disposal you can make new ones in the unit creator. you can also send wobblers to fight your friends or strangers in online multiplayer!features:campaigns multiplayerworkshopunit, map and faction creatorcampaign and battle creatorsandbox modeunit possessiona bunch of silly unitscustom content and workshop: unit and faction creatorcampaign and battle creatorin-game workshop ['sandbox', 'simulation', 'funny', 'war', 'physics', 'strategy', 'singleplayer', 'realistic', 'indie', 'adventure', 'colorful', 'fantasy', '3d', 'comedy', 'action', 'historical', 'family friendly', 'cute', 'wargame', 'memes']",Overwhelmingly Positive,4.0
